,customerId,churnPrediction
0,7590-VHVEG,Yes
1,5575-GNVDE,No
2,3668-QPYBK,No
3,7795-CFOCW,No
4,9237-HQITU,Yes
5,9305-CDSKC,Yes
6,1452-KIOVK,No
7,6713-OKOMC,No
8,7892-POOKP,Yes
9,6388-TABGU,No
10,9763-GRSKD,No
11,7469-LKBCI,No
12,8091-TTVAX,No
13,0280-XJGEX,No
14,5129-JLPIS,No
15,3655-SNQYZ,No
16,8191-XWSZG,No
17,9959-WOFKT,No
18,4190-MFLUW,No
19,4183-MYFRB,No
20,8779-QRDMV,Yes
21,1680-VDCWW,No
22,1066-JKSGK,No
23,3638-WEABW,No
24,6322-HRPFA,No
25,6865-JZNKO,No
26,6467-CHFZW,Yes
27,8665-UTDHZ,Yes
28,5248-YGIJN,No
29,8773-HHUOZ,No
30,3841-NFECX,No
31,4929-XIHVW,Yes
32,6827-IEAUQ,No
33,7310-EGVHZ,No
34,3413-BMNZE,Yes
35,6234-RAAPL,No
36,6047-YHPVI,Yes
37,6572-ADKRS,No
38,5380-WJKOV,Yes
39,8168-UQWWF,Yes
40,8865-TNMNX,No
41,9489-DEDVP,No
42,9867-JCZSP,No
43,4671-VJLCL,No
44,4080-IIARD,No
45,3714-NTNFO,No
46,5948-UJZLF,No
47,7760-OYPDY,Yes
48,7639-LIAYI,No
49,2954-PIBKO,No
50,8012-SOUDQ,No
51,9420-LOJKX,Yes
52,6575-SUVOI,No
53,7495-OOKFY,Yes
54,4667-QONEA,No
55,1658-BYGOY,Yes
56,8769-KKTPH,No
57,5067-XJQFU,No
58,3957-SQXML,No
59,5954-BDFSG,No
60,0434-CSFON,No
61,1215-FIGMP,No
62,0526-SXDJP,No
63,0557-ASKVU,No
64,5698-BQJOH,Yes
65,5122-CYFXA,No
66,8627-ZYGSZ,No
67,3410-YOQBQ,No
68,3170-NMYVV,No
69,7410-OIEDU,No
70,2273-QCKXA,Yes
71,0731-EBJQB,No
72,1891-QRQSA,No
73,8028-PNXHQ,No
74,5630-AHZIL,No
75,2673-CXQEU,No
76,6416-JNVRK,No
77,5590-ZSKRV,No
78,0191-ZHSKZ,No
79,3887-PBQAO,No
80,5919-TMRGD,Yes
81,8108-UXRQN,No
82,9191-MYQKX,Yes
83,9919-YLNNG,No
84,0318-ZOPWS,No
85,4445-ZJNMU,Yes
86,4808-YNLEU,No
87,1862-QRWPE,No
88,2796-NNUFI,No
89,3016-KSVCP,No
90,4767-HZZHQ,No
91,2424-WVHPL,Yes
92,7233-PAHHL,No
93,6067-NGCEU,No
94,9848-JQJTX,No
95,8637-XJIVR,No
96,9803-FTJCG,No
97,0278-YXOOG,No
98,3212-KXOCR,No
99,4598-XLKNJ,Yes
100,6380-ARCEH,No
101,3679-XASPY,No
102,7123-WQUHX,No
103,5386-THSLQ,No
104,3192-NQECA,No
105,6180-YBIQI,Yes
106,6728-DKUCO,No
107,9750-BOOHV,No
108,8597-CWYHH,No
109,2848-YXSMW,No
110,0486-HECZI,No
111,4549-ZDQYY,No
112,5712-AHQNN,No
113,4846-WHAFZ,Yes
114,5256-SKJGO,No
115,3071-VBYPO,No
116,9560-BBZXK,No
117,5299-RULOA,Yes
118,8402-OOOHJ,No
119,9445-ZUEQE,No
120,1091-SOZGA,No
121,2928-HLDBA,No
122,0404-SWRVG,Yes
123,6497-TILVL,No
124,7219-TLZHO,No
125,4622-YNKIJ,No
126,4412-YLTKF,Yes
127,6734-PSBAW,No
128,3930-ZGWVE,No
129,2639-UGMAZ,No
130,2876-GZYZC,Yes
131,6207-WIOLX,No
132,8587-XYZSF,No
133,3091-FYHKI,Yes
134,2372-HWUHI,Yes
135,7799-LGRDP,No
136,7850-VWJUU,No
137,3774-VBNXY,No
138,6217-KDYWC,No
139,0390-DCFDQ,Yes
140,3146-MSEGF,No
141,4080-OGPJL,No
142,1095-WGNGG,No
143,2636-SJDOU,No
144,1131-QQZEB,No
145,5716-EZXZN,No
146,6837-BJYDQ,No
147,2135-RXIHG,Yes
148,6440-DKQGE,No
149,3466-BYAVD,No
150,3780-YVMFA,No
151,3874-EQOEP,Yes
152,1679-JRFBR,No
153,9073-ZZIAY,No
154,3077-RSNTJ,No
155,6551-GNYDG,Yes
156,9167-APMXZ,No
157,2749-CTKAJ,No
158,6371-NZYEG,No
159,7554-NEWDD,No
160,8992-VONJD,No
161,0867-MKZVY,No
162,4482-EWFMI,Yes
163,4648-YPBTM,No
164,2907-ILJBN,No
165,6345-FZOQH,No
166,3376-BMGFE,Yes
167,5997-OPVFA,No
168,3445-HXXGF,No
169,1159-WFSGR,No
170,7654-YWJUF,No
171,1875-QIVME,Yes
172,6727-IOTLZ,No
173,0691-JVSYA,No
174,5918-VUKWP,No
175,1744-JHKYS,No
